Actual Duration 0.80 Hours, Interval 6 Seconds
Date,TIME,E1,E2,E3,E4,C1,C2,C3,C4,OILT,DIF,CLD,OAT,BAT,FF,USD,MARK
05/10/14, 16:41:10, 1350, 1417, 1299, 1334, 160, 159, 166, 159, 70, 118, 0, 52,13.8,2.7,6.4,
05/10/14, 16:41:16, 1350, 1417, 1299, 1334, 160, 159, 166, 159, 70, 118, 0, 52,13.8,2.7,6.4,
05/10/14, 16:41:22, 1355, 1417, 1299, 1334, 166, 165, 173, 165, 72, 118, 0, 52,13.8,2.5,6.4,
05/10/14, 16:41:28, 1347, 1417, 1305, 1341, 172, 170, 179, 171, 72, 112, 0, 52,13.8,2.5,6.4,
05/10/14, 16:41:34, 1355, 1417, 1315, 1341, 177, 175, 185, 177, 75, 102, 0, 52,13.8,2.5,6.4,
05/10/14, 16:41:40, 1355, 1417, 1322, 1334, 183, 180, 191, 182, 75, 95, 0, 52,13.8,2.5,6.4,
05/10/14, 16:41:46, 1349, 1430, 1329, 1342, 187, 184, 196, 187, 77, 101, 0, 52,13.8,2.5,6.4,
05/10/14, 16:41:52, 1349, 1430, 1329, 1342, 191, 188, 201, 192, 79, 101, 0, 52,13.8,2.3,6.4,
05/10/14, 16:41:58, 1349, 1423, 1329, 1349, 196, 192, 206, 196, 79, 94, 0, 52,13.8,2.3,6.4,
05/10/14, 16:42:04, 1349, 1423, 1337, 1349, 199, 196, 211, 201, 81, 86, 0, 52,13.8,2.3,6.4,
05/10/14, 16:42:10, 1365, 1423, 1337, 1349, 204, 199, 216, 205, 81, 86, 0, 52,13.8,2.3,6.4,
05/10/14, 16:42:16, 1355, 1428, 1337, 1349, 207, 203, 220, 209, 84, 91, 0, 52,13.8,2.5,6.4,
05/10/14, 16:42:22, 1355, 1428, 1337, 1349, 211, 207, 225, 213, 86, 91, 0, 54,13.8,2.5,6.4,
05/10/14, 16:42:28, 1338, 1428, 1348, 1349, 214, 209, 229, 216, 86, 90, 0, 54,13.8,2.1,6.4,
05/10/14, 16:42:34, 1326, 1428, 1348, 1349, 217, 211, 232, 220, 88, 102, 0, 54,13.8,2.1,6.4,
05/10/14, 16:42:40, 1321, 1423, 1348, 1337, 220, 214, 236, 223, 90, 102, 0, 54,13.8,2.1,6.4,
