Device Time, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel flow rate/minute(gal/min),Torque(Nm),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Y axis)(g),Mass Air Flow Rate(g/s),Speed (OBD)(mph),Relative Accelerator Pedal Position(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%)
15-Jan-2015 16:59:42.486,0.37348628,-0.62248695,8.92558193,-0.05969089,-,-,-,-0.0834806,0.01854767,0.81374985,-0.06443099,-,0,-,-,-,-
15-Jan-2015 16:59:43.495,1.30244088,-0.53629631,9.18415356,-0.05093932,-,-,-,-0.10797565,0.13081431,0.77665359,-0.09762266,-,0,-,-,-,-
15-Jan-2015 16:59:44.473,0.34476259,-0.79486823,8.62869549,-0.09699541,2000.75,-,5.63855648,-0.11569344,0.03514399,0.77958155,-0.08102632,12.64000034,2.48548484,-,-,-,-
15-Jan-2015 16:59:45.475,0.02872368,-0.55544865,9.19373417,-0.04210681,2000.75,-,5.63855648,-0.09422042,0.00097567,0.80496389,-0.03026266,12.64000034,2.48548484,-,-,-,-
15-Jan-2015 16:59:46.472,-0.363915,0.19153368,9.40442085,-0.07133368,2000.75,-,5.63855648,-0.03241509,-0.04588233,0.8654902,-0.03611966,12.64000034,2.48548484,-,-,-,-
15-Jan-2015 16:59:47.471,0.78529692,-0.30645782,8.4180088,-0.06157144,1174,-,5.63855648,-0.17038098,0.02538133,0.72881788,-0.014643,3.96000004,3.72822714,-,-,-,-
15-Jan-2015 16:59:48.472,0.98640192,0.12449542,8.36055183,-0.12274718,1174,-,5.63855648,-0.01567964,0.05954966,0.8820855,0.01366633,3.96000004,3.72822714,-,-,-,-
15-Jan-2015 16:59:49.480,0.62248695,-0.06702846,8.76277161,-0.08547407,1174,0.00860133,5.63855648,-0.04352241,0.09078898,0.85182285,0.00390467,5.11999989,3.72822714,-,-,-,-
15-Jan-2015 16:59:50.474,-0.51714391,0.86190647,8.0157795,-0.15749806,1146,0.00860133,-,-0.17621671,-0.05271599,0.71710289,0.08785998,5.11999989,4.97096968,-,-,-,-
15-Jan-2015 16:59:51.471,-0.70867759,1.0438689,9.09796333,-0.07140509,1146,0.00860133,-,-0.09830034,-0.00097567,0.79227322,0.12788531,5.11999989,4.97096968,-,-,-,-
15-Jan-2015 16:59:52.501,0.89063996,1.34074557,8.89684772,-0.06775597,1146,0.01251561,-,-0.07804608,0.09078898,0.80691618,0.1366713,7.44999981,4.97096968,-,-,-,-
